ISIN,Entityname,Jurisdiction,Country,Sector,Issuedate,Maturitydate,couponfrequency,couponcurrency,issuecurrency,principalcurrency,Strips,InterestCommencementDate,Tradedate,Firstcoupondate,Penltmcdate,ExtendedMaturityDate,coupontype,bondtype,amountissued,issuanceCoupon,currentCoupon,margin,businessdays,daycount,Businessday_convention,calloption,stepupbond,convertible,perpetual,putoption,exchangeable,seriesNo,TrancheNo,NOI,seniority,sfc,slc,lfc,llc,BondDescription,ABS,DualCurrency,Class,BondClassification,isin144A,Cusip144A,Commoncode,IsinregS,Cusipregs,Regsccode,wkn,ISIN,CUSIPISIN,ISINCCode,Sedol,Valoren,reofferprice,issueprice,Minimumdenomination,mindenomination1,mindenomination2,IncDenomination,IncDenomination1,IncDenomination2,ratefixdays,Settlementdays,Collateral,FormofNotes,RecordDays,Nationalityofguarantor,Recorddate1,Recorddate12,Recorddate3,Recorddate4,Countryofissue,ProgramType,Indexlinked,UnderlyingIndex,Uindex,FRNBenchmark,BondListing,Index_referencepage1,Index_referencepage2,Finalredemptionvalue,RedemptionNotes,makewholecall,cleanupcall,Makewhole_bps,Makewhole Date,Floor,Cap,Governinglaw,methodofdistribution,Deal Type,Cumulative,Coupondeferral,Calltype,underlying_Equity,Conversiondate,exercisetype,Convertible_listing,ismandatory,conversionprice,conversionprice1,ispreferred,exnbondisin,conequityISIN,Conversion_Notes,ConversionRatio
IT0005390841,Brera Sec S.r.l.,Italy,Italy,Financial Services,2019-11-27,2072-12-15,3,EUR,EUR,EUR,N,2019-11-27,,2020-03-16,2072-09-15,,Floating,Floating,"6,65,00,00,000",,,0.850%,Milan,ACT/360,Following,N,N,N,N,N,N,,,Unsecured,Senior,N,N,Y,N,"Euro 6,650,000,000 Class A Residential Mortgage Backed Floating Rate Notes due December 2072",Y,N,A,Asset Backed Security,,,,,,,,IT0005390841,,208866290,,,,100.000%,"1,00,000",,,,,,2,,,Dematerialised Notes,,,,,,,Italy,,Y,,,3M EUR-EURIBOR,Luxembourg Stock Exchange,Reuters,Euribor 01,100.000%,,N,Y,,,,,Italy,Syndicate,RMBS,N,N,Cash,,,,,,,,,,,,
US87246MAG78,"TICP CLO VI 2016-2, LLC",England and Wales,United Kingdom,Financial Services,2019-06-20,2029-01-15,3,USD,USD,USD,N,2019-06-20,,2019-07-15,2028-10-15,,Floating,Floating,"24,80,00,000",,,1.200%,New York,ACT/360,Following,N,N,N,N,N,N,,,Secured,Senior,Y,N,N,N,"USD 248,000,000 Class A-R Senior Secured Floating Rate Notes due 2029",Y,N,A-R,Asset Backed Security,US87246MAG78,87246MAG7,,USG88634AF04,G88634AF0,,,US87246MAH51,87246MAH5,,,,,100.000%,"2,50,000",,,1,,,2,,,Registered Notes,15,,,,,,United States,,Y,,,3M USD-LIBOR-BBA,Irish Stock Exchange,Reuters,LIBOR01,100.000%,,N,Y,,,,,United States,Non-Syndicate,CLO,N,N,Cash,,,,,,,,,,,,
US87246MAE21,TICP CLO VI 2016-2 Ltd.,Cayman Islands,Cayman Islands,Financial Services,2019-06-20,2029-01-15,3,USD,USD,USD,N,2019-06-20,,2019-07-15,2028-10-15,,Floating,Floating,"10,00,000",,,0.500%,New York,ACT/360,Following,N,N,N,N,N,N,,,Secured,Senior,Y,N,N,N,"USD 1,000,000 Floating Rate Bonds due 2029",Y,N,X,Asset Backed Security,US87246MAE21,87246MAE2,,USG88634AE39,G88634AE3,,,,,,,,,100.000%,"2,50,000",,,"1,000",,,2,,,Registered Notes,15,,,,,,Cayman Islands,,Y,,,3M USD-LIBOR-BBA,Irish Stock Exchange,Reuters,LIBOR01,100.000%,,N,N,,,,,United States,Non-Syndicate,CLO,N,N,Cash,,,,,,,,,,,,
INE848E07AQ9,NHPC Ltd.,India,India,Sovereign Agency,2019-10-07,2027-10-07,12,INR,INR,INR,N,2019-10-07,,2020-10-07,2026-10-07,,Fixed,Fixed,"3,00,00,00,000",7.500%,7.500%,,Mumbai,ACT/ACT,Following,N,N,N,N,N,N,Y,,Secured,Senior Unsubordinated,N,N,N,N,"INR 3,000,000,000 Secured, Redeemable, Non Convertible, Non Cumulative, Taxable Bonds ( Y Series) in the nature of Debentures due 2027",N,N,,Debenture,,,,,,,,INE848E07AQ9,,,,,,100.000%,"10,00,000",,,"1,00,000",,,,T+2,,Dematerialised Notes,15,,,,,,India,,N,,,,National Stock Exchange of India,,,100.000%,,N,N,,,,,India,Syndicate,,N,N,Cash,,,,,,,,,,,,
US92564RAA32,VICI Properties L.P.,Delaware (US),United States,Financial Services,2019-11-26,2026-12-01,6,USD,USD,USD,N,2019-11-26,,2020-06-01,2026-06-01,,Fixed,Fixed,"1,25,00,00,000",4.250%,4.250%,,New York,30/360,Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,Y,N,"$1,250,000,000 4.250% Senior Notes due 2026",N,N,,Callable,US92564RAA32,92564RAA3,,USU9T83JAA32,U9T83JAA3,,,,,,,,,100.000%,"2,000",,,"1,000",,,,,,Registered Notes,,United States,15-May,15-Nov,,,United States,,N,,,,Not Listed,,,100.000%,,Y,N,00:00.0,2019-11-26,,,United States,Syndicate,,N,N,Cash,,,,,,,,,,,,
INE857Q08024,Tata Cleantech Capital Limited,India,India,Financial Services,2019-11-13,2029-11-13,12,INR,INR,INR,N,2019-11-13,,2020-11-13,2028-11-13,,Fixed,Fixed,"50,00,00,000",8.800%,8.800%,,Mumbai,ACT/ACT,Following,N,N,N,N,N,N,B FY 2019-20,,Unsecured,Tier 2 Subordinated,N,N,N,N,"INR 500,000,000 Unsecured, Redeemable Non-Convertible, Subordinated Debentures due 2029",N,N,,Debenture,,,,,,,,INE857Q08024,,,,,,100.000%,"10,00,000",,,,,,,,,Dematerialised Notes,15,,,,,,India,,N,,,,National Stock Exchange of India,,,100.000%,,N,N,,,,,India,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
SE0013109444,Hemfosa Fastigheter AB,Sweden,Sweden,Real Estate,2019-10-03,2022-10-03,3,SEK,SEK,SEK,N,2019-10-03,,2020-01-03,2022-07-03,,Floating,Floating,"80,00,00,000",,,2.100%,Sweden,ACT/360,Modified Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"SEK 800,000,000 Senior Unsecured Floating Rate Green Bonds due 2022",N,N,,Green Bond,,,,,,,,SE0013109444,,,,,,100.000%,"12,50,000",,,,,,2,,,Dematerialised Notes,5,,,,,,Sweden,,Y,,,3M SEK-STIBOR,Stockholm Stock Exchange,,,100.000%,,N,N,,,,,Sweden,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
INE296A07QW3,Bajaj Finance Limited,India,India,Financial Services,2019-06-24,2022-07-08,12,INR,INR,INR,N,2019-06-24,,2020-07-08,2021-07-08,,Fixed,Fixed,"20,00,00,00,000",8.113%,8.113%,,Mumbai,ACT/ACT,Following,N,N,N,N,N,N,251,,Secured,Senior,N,N,Y,N,"INR 20,000,000,000 Secured Redeemable Non Convertible Debentures due 2022",N,N,,Debenture,,,,,,,,INE296A07QW3,,,,,,100.000%,"1,00,00,000",,,"10,00,000",,,,,,Dematerialised Notes,15,,,,,,India,,N,,,,Bombay Stock Exchange,,,100.000%,,N,N,,,,,India,,,N,N,Cash,,,,,,,,,,,,
US341081FR38,Florida Power & Light Company,Florida (US),United States,Utilities,2018-05-08,2048-06-01,6,USD,USD,USD,N,2018-05-08,,2018-12-01,2047-12-01,,Fixed,Fixed,"50,00,00,000",4.125%,4.125%,,,30/360,Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,Y,N,"$500,000,000 4.125% Series due June 1, 2048",N,N,,Callable,,,,,,,,US341081FR38,,,,,,100.000%,"2,000",,,"1,000",,,,,,,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,Y,N,00:00.0,2018-05-08,,,United States,,,N,N,Cash,,,,,,,,,,,,
SE0012455400,Fastpartner AB (publ),Sweden,Sweden,Real Estate,2019-03-28,2024-03-28,3,SEK,SEK,SEK,N,2019-03-28,,2019-06-28,2023-12-28,,Floating,Floating,"50,00,00,000",,,3.100%,Sweden,ACT/360,Modified Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"SEK 500,000,000 Senior Unsecured Callable Floating Rate Bonds 2019/2024",N,N,,Callable,,,,,,,,SE0012455400,,,,,,100.000%,"1,00,000",,,,,,2,,,Dematerialised Notes,5,,,,,,Sweden,,Y,,,3M SEK-STIBOR,Stockholm Stock Exchange,,,100.000%,,N,N,,,,,Sweden,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
XS1669141753,Vida Finance Public Limited Company,Ireland,Ireland,Financial Services,2017-09-15,2021-08-15,3,USD,USD,USD,N,2017-09-15,,2017-11-15,2019-12-15,,Fixed,Fixed,"40,00,00,000",2.881%,2.881%,,,ACT/360,Modified Following,N,N,N,N,N,N,2017-5,,,,Y,N,N,Y,"Issue of Series 2017-5 USD 400,000,000 Fixed Rate Secured Notes due 2021",N,N,,Plain Vanilla Bond,,,,,,,,XS1669141753,,166914175,,,,100.000%,"5,00,000",,,,,,,,,Registered Notes,,,,,,,Ireland,,N,,,,Irish Stock Exchange,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
XS0809885162,"Deutsche Bank Aktiengesellschaft, London Branch",England and Wales,United Kingdom,Banks,2015-08-11,2020-08-13,12,USD,USD,USD,N,2015-08-11,,2016-08-13,2019-08-13,,Variable,Variable,"1,00,00,00,000",2.500%,2.500%,,,,Following,N,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,Y,N,"USD 1,000,000,000 fixed to floating rate bond due 2020",N,N,,Variable Bond,,,,,,,,XS0809885162,,,,,,100.000%,"1,00,00,000",,,100,,,,,,Bearer Notes,,,,,,,Germany,,N,,,,Not Listed,,,100.000%,,N,N,,,2.00%,4.00%,,,,N,N,Cash,,,,,,,,,,,,
DE000DB2G1N9,DEUTSCHE BANK AKTIENGESELLSCHAFT,Germany,Germany,Banks,2015-10-13,2023-11-02,12,EUR,EUR,EUR,N,2015-10-13,,2015-11-02,2022-11-02,,Step Up,Fixed,"1,00,00,00,000",1.000%,1.000%,,,30/360,Following,N,Y,N,N,N,N,,,Unsecured,Unsubordinated,Y,N,N,N,"EUR 1.000.000.000,00 step up bond due 2023",N,N,,Step Up Bond,,,,,,,,DE000DB2G1N9,,,,,,100.000%,"10,00,000",,,"1,000",,,,,,Bearer Notes,,,,,,,Germany,,N,,,,Not Listed,,,100.000%,,N,N,,,,,Germany,,,N,N,Cash,,,,,,,,,,,,
US4042K1VX80,HSBC USA Inc,Maryland (US),United States,Banks,2012-02-03,2022-02-03,3,USD,USD,USD,N,2012-02-03,2012-01-31,2012-05-03,2021-11-03,,Variable,Variable,"47,76,000",4.000%,4.000%,,,,Following,N,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"$4,776,000 Fixed to Floating Rate Notes due February 3, 2022",N,N,,Variable Bond,,,,,,,,US4042K1VX80,4042K1VX8,,,,,100.000%,"1,000",,,,,,,,,Dematerialised Notes,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,7.00%,1.50%,United States,,,N,N,Cash,,,,,,,,,,,,
CA136375CR16,Canadian National Railway Company,Canada,Canada,Industrial Goods & Services,2018-07-31,2028-07-31,6,CAD,CAD,CAD,N,2018-07-31,,2019-01-31,2028-01-31,,Fixed,Fixed,"35,00,00,000",3.200%,3.200%,,Montreal,Not Available,Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"$350,000,000 3.20% Notes due 2028  ",N,N,,Callable,,,,,,,,CA136375CR16,136375CR1,,,,,99.542%,"2,000",,,"1,000",,,,,,Global Notes,,,16-Jan,16-Jul,,,Canada,,N,,,,Not Listed,,,100.000%,,Y,N,00:00.0,2018-07-31,,,Canada,Syndicate,,N,N,Cash,,,,,,,,,,,,
US06048WUR95,Bank of America Corporation,Delaware (US),United States,Banks,2017-08-25,2029-08-25,3,USD,USD,USD,N,2017-08-25,,2017-11-25,2029-05-25,,Variable,Variable,"20,00,000",4.000%,4.000%,,New York,,Following,N,N,N,N,N,N,M,,Unsecured,Senior,N,N,N,N,"$2,000,000 Fixed to Floating Rate Notes Linked to the 10-Year U.S. Dollar ICE Swap Rate, due August 25, 2029",N,N,,Variable Bond,,,,,,,,US06048WUR95,06048WUR9,,,,,100.000%,"1,000",,,"1,000",,,,,,Bearer Notes,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
US46646EX232,JPMorgan Chase Financial Company LLC,Delaware (US),United States,Financial Services,2016-10-28,2046-10-29,3,USD,USD,USD,N,2016-10-28,,2017-01-28,2046-04-28,,Variable,Variable,"9,64,94,000",0.500%,0.500%,,New York,,Following,N,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,Y,Y,"$96,494,000 Fixed to Floating Rate Notes Linked to 3-Month USD LIBOR due October 29, 2046",N,N,,Variable Bond,,,,,,,,US46646EX232,46646EX23,,,,,100.000%,"1,000",,,"1,000",,,,,,,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
XS1569804120,JPMorgan Chase & Co.,Delaware (US),United States,Financial Services,2017-05-11,2032-05-11,12,EUR,EUR,EUR,N,2017-05-11,,2018-05-11,2031-05-11,,Fixed,Fixed,"3,00,00,000",1.735%,1.735%,,,30/360,Following,N,N,N,N,N,N,2017-00421,,Unsecured,Senior,N,N,N,N,"EUR 30,000,000 15-Year 1.735% p.a. Fixed Coupon Notes due May 2032",N,N,,Plain Vanilla Bond,,,,,,,,XS1569804120,,156980412,,,,100.000%,"10,00,000",,,,,,,,,,,,,,,,United States,,N,,,,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,United States,,,N,N,Cash,,,,,,,,,,,,
USL56473AA67,Avation Capital S.A.,Luxembourg,Luxembourg,Financial Services,2018-11-19,2021-05-15,6,USD,USD,USD,N,2018-11-19,,2019-05-15,2020-11-15,,Fixed,Fixed,"30,00,00,000",6.500%,6.500%,,,30/360,Following,Y,N,N,N,N,N,2,2,Unsecured,Senior,Y,N,N,N,"US$50,000,000 6.50% Senior Notes due 2021",N,N,,Callable,US05351CAA53,05351CAA5,,USL56473AA67,,,,,,,,,,99.750%,"2,00,000",,,"1,000",,,,,,Global Notes,,,,,,,Luxembourg,Global Medium Term Note Programme,N,,,,Singapore Exchange Securities Trading Ltd (SGX-ST),,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
INE915D07I80,Citicorp Finance (India) Limited,India,India,Financial Services,2019-02-27,2024-05-27,0,INR,INR,INR,N,2019-02-27,,,,,Int at Maturity,Index Linked,"3,00,00,00,000",,,,,ACT/ACT,Modified Following,Y,N,N,N,N,N,2019/02/72,2,Secured,Senior,N,N,N,N,"INR 3,000,000,000 Listed, Unsecured, Rated, Redeemable, Non Convertible Debentures due 2024",N,N,,Debenture,,,,,,,,INE915D07I80,,,,,,100.000%,"1,00,000",,,,,,,,,Dematerialised Notes,15,,,,,,India,,N,Index,Nifty 50 Index,,National Stock Exchange of India,,,,,N,N,,,,,India,,,N,N,Index Linked,,,,,,,,,,,,
FR0012686145,Caisse Francaise de Financement Local,France,France,Financial Services,2015-04-17,2030-07-30,6,EUR,EUR,EUR,N,2015-04-17,,2015-07-30,2030-01-30,,Floating,Floating,"2,60,00,000",,,0.045%,,ACT/360,Following,N,N,N,N,N,N,2015-4,,Unsecured,Senior,Y,N,N,N,"EUR 26,000,000 Flaoting Rate Notes Covered Bond Due 2030",Y,N,,Covered Bond,,,,,,,,FR0012686145,,,,,,100.000%,"1,00,000",,,,,,,,,,,,,,,,France,,Y,,,6M EUR-EURIBOR,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,,,ABS,N,N,Cash,,,,,,,,,,,,
XS1700578724,Dexia Credit Local,France,France,Sovereign Agency,2017-10-18,2027-10-18,12,EUR,EUR,EUR,N,2017-10-18,,2018-10-18,2026-10-18,,Fixed,Fixed,"1,50,00,00,000",1.000%,1.000%,,,ACT/ACT (ICMA) ,Following,N,N,N,N,N,N,G 2017-12,1,Secured,Unsubordinated,N,N,N,N,"EUR 1,500,000,000 Fixed rate bond due 2027",N,N,,Plain Vanilla Bond,,,,,,,,XS1700578724,,170057872,,,,99.556%,,,,,,,,,,Bearer Notes,,,,,,,France,,N,,,,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,,Syndicate,,N,N,Cash,,,,,,,,,,,,
DE000A2AASD0,WL Bank AG Westfaelische Landschaft Bodenkreditbank,Germany,Germany,Banks,2016-06-17,2026-06-17,12,EUR,EUR,EUR,N,2016-06-17,,2017-06-17,2025-06-17,,Fixed,Fixed,"2,50,00,000",0.780%,0.780%,,,ACT/ACT (ICMA) ,Following,N,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,N,N,"EUR25,000,000 0.78% Notes Due 2026",N,N,,Plain Vanilla Bond,,,,,,,,DE000A2AASD0,,,,,,100.000%,"1,00,000",,,,,,,,,Global Notes,,,,,,,United States,Debt Issuance Note Programme,N,,,,Dusseldorf Stock Exchange,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
XS1882681536,IDB Trust services limited,Jersey,Jersey,Financial Services,2018-09-26,2023-09-26,6,USD,USD,USD,N,2018-09-26,,2019-03-26,2023-03-26,,Fixed,Fixed,"1,30,00,00,000",3.389%,3.389%,,New York,30/360,Following,N,N,N,N,N,N,35,,Unsecured,Senior,N,N,N,N,"Issue of U.S.$1,300,000,000 3.389 per cent. Trust Certificates due 2023 ",N,N,,Trust Certificate,,,,,,,,XS1882681536,,188268153,,,,100.000%,"2,00,000",,,"1,000",,,,,,,,,,,,,Jersey,,N,,,,London Stock Exchange,,,100.000%,,N,N,,,,,,Syndicate,,N,N,Cash,,,,,,,,,,,,
XS1489761392,"Santander Issuances, S.A. Unipersonal",Spain,Spain,Financial Services,2016-09-20,2026-09-20,6,USD,USD,USD,N,2016-09-20,,2017-03-20,2025-09-20,,Fixed,Fixed,"14,00,00,000",4.650%,4.650%,,New York,30/360,Following,N,N,N,N,N,N,30,1,Unsecured,Subordinated,N,N,N,Y,"USD140,000,000 4.65% Notes Due 2026",N,N,,Plain Vanilla Bond,,,,,,,,XS1489761392,,148976139,,,,98.402%,"2,00,000",,,"2,00,000",,,,,,Bearer Notes,,,,,,,Spain,Debt Issuance Note Programme,N,,,,Irish Stock Exchange,,,100.000%,,N,N,,,,,Spain,,,N,N,Cash,,,,,,,,,,,,
